"","Series 1","Series 2","Series 3","Series 4","Series 5","Series 6","Series 7","Series 8","Series 9","Series 10","Series 11","Series 12","Series 13","Series 14","Series 15","Series 16","Series 17","Series 18","Series 19","Series 20","Series 21","Series 22","Series 23","Series 24","Series 25","Series 26","Series 27","Series 28","Series 29","Series 30","Series 31","Series 32","Series 33","Series 34","Series 35","Series 36","Series 37","Series 38","Series 39","Series 40","Series 41","Series 42","Series 43","Series 44","Series 45","Series 46","Series 47","Series 48","Series 49","Series 50","Series 51","Series 52","Series 53","Series 54","Series 55","Series 56","Series 57","Series 58","Series 59","Series 60","Series 61","Series 62","Series 63","Series 64","Series 65","Series 66","Series 67","Series 68","Series 69","Series 70","Series 71","Series 72","Series 73","Series 74","Series 75","Series 76","Series 77","Series 78","Series 79","Series 80","Series 81","Series 82","Series 83","Series 84","Series 85","Series 86","Series 87","Series 88","Series 89","Series 90","Series 91","Series 92","Series 93","Series 94","Series 95","Series 96","Series 97","Series 98","Series 99","Series 100"
"1",-25149.8589820572,-1488.40746637593,19678.6336478681,229.83323273798,-725.49637876601,-410.56574100875,-4002.90992285886,7823.68363066387,1072.74757631812,920.051749567954,155.828826528277,369.931904888561,326.646964490972,68.6847413891283,359.668953267282,-885.305959096934,1155.65329787826,-310.978585473974,-69.8881954539517,1252.83052663297,13985.8301646891,567.614288328877,914.36245418121,-423.82206881439,-767.686647122057,980.086430964701,-2211.58375803143,176.03929396742,-1409.68904087007,820.395407295627,605.063291479245,345.170290907503,-569.614840679781,-1755.17351427326,2038.99415605641,-2132.60243769002,940.894251082346,-45.6350131367179,3543.37431892774,-1268.39866228492,1101.31854862596,-673.091743328313,-934.002867276351,-85.2039637821362,88.0663513841113,879.322290618687,-6171.59372141067,758.102727513297,1083.78056538598,200.823826408335,1801.48185424408,599.95911028711,534.196493170748,1566.56319884283,832.580300723773,1120.11677769282,160.441899242527,15.1836584606833,1000.60375818998,-511.694102406782,1093.68760009549,-312.462757618117,232.727394647632,-473.367780368936,-157.678217618096,901.931840656999,1518.09317408516,1949.11900242445,3562.66400507229,-502.533877415234,1347.99510181016,-184.073419782554,-1421.34982589271,1363.78667962127,85.0567529522391,-1654.37825352588,1181.36771080482,1898.96574526185,52.07730856068,-2577.14457095167,70.2473934385989,-103.448033202489,-2782.1498915474,-1404.21839963304,688.456701473204,404.553375087872,-3132.88036301995,-251.165874330475,18433.6926920663,2535.77892021778,3018.66487129452,313.212133140382,1249.4860812964,-1599.08457505978,1834.19647070742,3154.53254665073,-5047.86336530148,259.818288998764,1830.79189716786,629.939329400899
"2",-26035.7408687713,-2248.85993416896,20890.6308227431,428.684095911543,-74.8519862855276,-601.377405924029,-4033.01400687285,7754.63805755892,1094.04962489375,600.902264805099,-215.890344329962,367.118890394184,-121.267136776803,-390.505878526757,3652.87221563806,-1633.74925138577,859.917075453886,-109.592227082005,-591.363690683305,455.060015862971,13680.7698826098,875.364503565827,1049.46021534911,-1117.40395819112,-1205.21309995765,713.781748191332,-2369.91252661386,1744.77745920344,-1304.67876807195,307.908230172362,945.130685384775,-258.855855512558,1052.81024208075,-2204.41683171748,2289.33155325046,-2184.74492430172,1990.42547107266,536.954649442709,4095.49328602473,-1294.23711335993,286.11319270032,472.936976103241,-848.06195415656,-237.294937438368,619.575081424374,1459.93100885719,-8046.32919124965,395.455581503813,-151.473893360931,-66.4406099826964,1944.46680651851,605.55231342408,1044.70620247882,-1036.25705236869,696.859149796363,862.682035451383,16.3066824455692,516.026849729496,741.723812234439,98.6438413034423,-2659.69698445156,245.444038413085,179.303157537387,-1153.26413139793,1466.28398546554,724.096969504962,1932.82540437192,1890.96200530627,4271.26794149009,-99.7093077775832,1928.17825989114,959.248512670814,-2111.97291582383,3308.48050883525,497.463920993948,-1947.80569459533,942.113176620743,1032.7955460927,245.105845681568,-1788.7713362774,21.248343228964,1623.02468707367,132.073224767142,-2904.28887755874,2332.23942057928,520.386511576111,-2484.06064664614,-502.427214684128,19138.1338998608,2529.74808682252,3272.17518680184,547.189901075484,1709.26431622556,-2198.44840805757,2385.87445986304,2174.33090841525,-3123.27065912352,287.406731942315,1164.82034419151,-478.610222349363
"3",-28933.7035322965,-321.983650536851,21123.3660569345,-93.2498365897275,173.326347491027,-1442.61770343241,-4732.70014666402,8149.30728082503,1061.83794062626,827.479441038111,-478.218429463969,-334.11725643403,-131.9306776425,110.023049548585,1110.14828780511,-1658.5415717863,684.837110206483,-237.506859135093,-549.797315210965,642.616367711888,15207.3717176695,984.016008541486,1125.69142430636,-775.19084813695,-851.648791583074,301.627152681009,-2069.64651312065,117.657857465845,-1766.90526565582,701.691834071726,295.898286691631,-102.77039133863,278.261094106899,-2316.77466235752,2169.58042354351,-1129.14294574538,900.298527590451,188.005310795135,3794.49044303438,-1370.52576119169,539.442093298464,-183.325994316822,-1387.58303891973,-584.835235324299,1185.30150404895,832.310428530536,-8296.15930757751,662.453292516958,-1227.25660522016,787.282423092088,1596.45857387909,605.740024853585,493.689822379196,995.196787623795,690.271867623056,747.315268757639,379.933541471998,1171.73158188073,342.24409731651,108.894371947672,1900.06863811548,232.250350979061,-66.0321026283819,-877.834496951106,2195.51416483272,639.572708104412,2156.26590028805,1719.42540143043,3132.6278869161,-290.115343452993,1140.247717969,1406.2904604769,-2110.72324519332,2142.06276054521,555.118318888073,-1921.24066554807,1274.68451211764,826.795822902408,6.2901117665079,-1394.31540305529,-9.5683445489854,-51.8443492836984,-2322.66877822115,-3581.86180735017,399.044078156584,944.157431531104,-3270.35325509596,-775.584338453542,19954.0183318417,3183.66846799639,2079.20410547493,323.74330421984,1396.25939844758,-3342.30162721667,2351.03566970526,1742.70773028874,-5097.90799975155,301.121783822332,2025.33587138236,233.242748570874
"4",-30070.4202603067,-1078.6027402692,22067.6814898129,192.425067897435,230.399118924372,-891.838204854793,-5192.61516410187,8763.28757954171,1259.58884657367,498.528848814741,-173.64697181947,357.852553013095,400.202579954402,-104.715871879432,1999.20106078955,-2104.43378701601,830.978890940813,-432.11082646414,-572.650419669912,510.636286018806,16115.7648078519,260.870110047237,1272.08417733464,-771.27698195763,-246.644864473894,831.754211525513,-2418.56167722452,511.879555884433,-643.91165106828,497.855502162347,468.7982770293,513.18320740714,-334.712416147639,-3260.01730142775,2378.68257952861,-1568.75540672978,1351.24008336549,-77.0415674591762,3583.33983717825,-1600.52522151576,219.998292354228,-688.577243845966,-1106.2622031497,-990.433507032463,416.597887718564,1317.90162814084,-8753.30700655765,611.26751618148,-1689.33228162029,693.752483488997,2130.56504366646,454.883510457143,670.067366477193,-548.846710127455,913.757897816305,486.729297806897,363.971458123182,989.679679731236,722.19942437544,-530.362655795853,-127.934888079018,328.935005956009,24.2908002889023,-714.863027440184,-144.541587716479,794.373272870739,2094.68410042629,1592.03501802152,3580.33384075595,-236.734859528922,1457.18220585197,-933.793522495398,-2593.34958670687,2669.9818136562,536.931270455182,-1133.25503144765,984.166159374989,3061.75010205355,158.212258993777,-461.861454713908,-325.34644939274,-985.650154038471,1850.52470953731,-2036.92457319739,1165.32968157946,470.151229565165,-2674.27563066375,-799.540473177809,21031.0601385611,3185.50844752301,3153.29798278249,254.561192240742,1414.18090804683,-1610.15577216818,2586.06889185975,2786.22244747958,-3428.5990100148,833.117594574082,1808.1266132604,-982.415395520047
"5",-32598.4081555984,-1677.8874265279,22692.3507986744,265.803075222309,-337.051772586943,-2010.06395085742,-4802.19144692459,8671.30537285315,1430.07413067581,771.385749775307,-276.656932857023,-98.1618861731633,133.347949763425,958.630928511603,779.263554645366,-870.501406787009,1291.4872022761,295.143244996239,-337.500528286824,828.163360458906,16545.0282815962,560.321289196113,864.985830247613,312.991052707235,-889.624336482954,818.985906603229,-2176.45973982072,1243.59414654706,-1128.80703502063,703.543071118959,671.331468672433,-38.4049460001099,-885.958112768883,-3364.18051744315,2727.17169980624,-973.772032742272,683.491217281082,-153.514296943744,3950.47953851934,-1291.37693123473,1026.2779564069,753.089014107219,-1352.68204061262,-695.127118161055,498.477613686735,1330.94410863256,-11298.3757541647,128.897915503488,-827.947332937829,-15.6289335039109,1526.32845158818,568.64220407579,832.843056924914,373.753605631993,694.557082657798,775.688331396,567.482028958429,1484.93314986558,790.34882634049,-126.825116455936,-647.148235409564,160.722131738473,-213.889924745635,-1012.55286009228,2920.28651563821,751.419843524125,1813.64853187936,1921.41618516411,4586.83562806754,-213.010711752921,773.781851474174,442.667493671276,-2136.37400500562,2961.61879157123,991.160982120967,-1611.99171860822,1226.58964918052,1752.63218111572,46.8514923359863,-1142.3335511042,-330.825760431488,-38.6513216157084,-757.4856816373,-3008.49682441967,1813.14688056533,774.841078470022,-2776.47641974002,-531.698585286218,21342.4207939826,2658.36903702129,3324.81130980232,555.751815958084,1335.4316927169,-2501.08819069299,1948.34364081131,2701.15657732297,-4716.96216466117,-25.2520154655776,1371.40830878759,1540.21615637163
"6",-34061.0144103508,-1485.22662733984,23161.1653303865,556.124092538445,232.333335470528,-1242.57358060662,-4735.0420482023,9366.07402202693,3137.6103316168,497.190446547198,-125.42048272221,461.460673098831,-110.153497313235,-109.598231576372,1618.44891041439,-1168.44796453561,1269.37214913076,-513.072017057824,-857.656169427061,326.884464753735,18586.1435724394,575.741201149293,1350.31965171931,-1471.6466562028,-1861.46693085536,552.717319729676,-2470.16063442718,1575.76799155339,-977.365153658255,824.648715650932,385.507448447527,617.114081172883,387.807641755123,-4021.73221385066,2485.4386733244,-2588.01380261473,956.759236885151,-113.903548055096,4263.30295465847,-1596.68989165773,485.538728568813,683.206695045963,-40.5527077489488,-742.709421291213,627.074263267966,1300.77579051316,-10040.4666611132,393.208150629682,223.141398499556,311.252963683551,2710.72981134902,448.513614992595,614.187833588475,-928.606884003578,684.24195172808,241.21138669785,441.932210655087,227.550622042065,393.087308838012,-276.652770702708,-46.1791509891498,-1083.24324597909,159.801528560699,-820.395878896546,857.31626861637,482.964743723193,2271.21772453787,1609.30783181609,4354.26629890885,-664.452548424323,1223.66395158641,-847.670708018061,-1762.03438850445,1232.53833386633,134.156230704854,-1478.94191851236,617.699944388386,1853.51686837622,375.764352820845,-2922.85197397781,-350.83005600571,996.077051581033,-803.533146027477,-510.680322882113,1413.6652431488,1174.92540900467,-2845.18057305925,-505.032879806409,22057.3631903618,3226.78569377771,2660.48240228744,315.664674979285,1107.75668321779,-2822.21393851452,2448.52234861207,2057.31695988313,-6869.65934472422,226.26565702083,938.521741731862,199.993615923647
"7",-35376.9122079953,-331.322000746549,24160.2680843464,-60.7842103726153,134.507751238698,304.779661844116,-5147.34441540518,9459.47071193933,1676.02812466886,947.817867647358,-40.3744082008697,36.6870326003132,195.229272141981,930.67919743729,1166.00730354586,-714.78044363242,772.594208491893,-419.050307230436,-676.86230306552,836.417891263062,19683.5804811614,423.219617586045,833.944121727253,-405.705943276975,-1362.15266155393,782.798676217993,-2183.22317429277,-72.0892294090283,-2059.61191041614,281.646224320844,873.473274745229,42.7237096264271,850.925596821464,-4126.86824879718,2381.76655958526,-1572.77999940764,754.742735476106,128.813714187173,3963.24575860287,-1170.53047721072,1163.02420217945,724.390791091643,-324.011561786544,-513.840908857433,672.312874022543,674.488622273282,-11520.6648671261,242.235983378321,-299.738895668033,109.898942919555,1517.3885414336,192.47470713725,913.765672051386,1119.60621966795,763.427278625805,705.095632051148,600.922192754272,1905.82591971989,838.61731165128,-448.847007935075,330.822333794207,-222.148837896564,-270.823871028827,-1011.71431961832,320.898277382239,1099.02275436714,1730.49810232853,2460.43507634481,3300.0978356299,-502.488973851936,522.077886953944,106.052020049261,-1500.02225525994,2479.09789733417,819.88280865976,-1930.68374643198,1207.93972983599,1912.40922582387,202.60792245431,-607.807615565255,175.441616448576,-1158.31087842836,-787.341016382345,-843.135016366195,1275.75087760677,629.50275479728,-3344.91023768493,-814.688541904772,22860.6013684571,3134.77130627509,2091.70065017751,145.357214188535,1219.16476522037,-3390.80392770185,2745.02617087904,2697.41887926317,-5583.92591315473,69.2602994071043,1217.28716042702,1191.2457848214
"8",-37389.1426839224,-2225.37471969424,24552.514300192,148.410252441307,-412.830578740369,-246.657097407288,-5775.29751645914,8539.7846218716,1888.19486977979,874.7985999629,-307.955194988444,-233.833302168977,92.0766470670822,1086.19133465046,3249.38502006465,-1197.13609092159,752.419797577262,-697.520364938406,-745.834812422876,407.222909110858,17980.4827867229,786.594788254545,1055.11329390875,-9.18925771296279,-485.93641362028,868.145459836138,-1702.66525822386,2832.33871590956,-977.376341562376,145.187553821788,512.331981810056,-166.500093951865,-715.024066470229,-4228.23301097472,2220.88287854138,-852.516166522141,979.966897026346,406.964196441141,4019.19004141327,-1678.37654737969,1457.63899938027,720.017382889658,-364.615350000524,-479.31042843634,1174.86054319967,1367.6522769855,-12848.2867862649,303.656256911365,960.216900582984,-30.0701087838253,2316.46536753503,904.800728938796,1166.8707332399,1027.37102176318,562.847006901009,437.578173229814,491.410233850195,750.472357873853,1112.73873313377,50.7845774579926,1168.2074083323,-1504.25486781898,-319.808845014087,-868.42177096123,1026.79633880584,1122.03284231546,2397.94976698168,1753.98178278734,4725.72429985665,-98.2856844493011,2047.15137065911,392.929028823586,-2099.26259686486,1849.4516296232,753.925277804359,-2018.50850974429,824.005083913122,1155.72744864256,322.822318664401,-2022.57509004412,-107.392645234273,1478.80594568387,450.17086227565,-1229.57812256588,1177.37524777991,568.432073175816,-3358.11947006023,-471.032030668999,23356.4972922806,3319.59404711989,3047.81788880852,790.012967546566,1823.94748255347,-3422.36647912505,2565.67204150243,1703.15124445572,-5924.27898318478,158.005084370734,1523.79515195978,-482.744625803969
"9",-39037.8552574817,280.928744321825,25639.78758035,90.9346776259243,344.319062946311,-228.281970606269,-5859.85571675246,8509.17760244469,1936.75224364677,81.8611631292897,308.391193650655,9.88489536408933,-163.745111066768,516.114657748522,1240.1372001845,-753.409271111519,1345.12008685644,-64.6897770111453,-643.888292170636,577.104141952815,19949.2213003138,837.421840129924,1203.57029292835,-1399.8773639206,-2074.18952249811,787.530038533776,-1856.72355938813,767.981022749897,-905.529393348975,595.852828571131,428.997725452228,344.666617448864,1958.0510286411,-4316.16922014825,2189.80397280087,-1841.69900556187,1082.61290678298,-3.91327601164515,4170.76319650504,-1193.34223735182,156.548886323023,278.384014365907,-1771.27166059372,-648.613327273976,1231.84894971642,869.848457790202,-11963.8557197785,702.003186545557,140.827902872365,543.079675905387,1717.807813398,763.121474193732,626.240817779664,2120.69054481265,888.181416935626,856.992643373353,70.0240540476902,1858.8476081344,302.9613528851,-661.864631750868,-889.777040739366,139.806412648908,99.0235911713364,-526.031670891557,414.991519635923,973.430258470134,1993.7064854968,2200.74999850351,3595.62733786979,-777.375853361565,1710.01629998167,-148.620680582636,-1236.3945813811,2858.97741724575,651.231968185375,-2037.15600544438,1078.85102852223,2561.60903799043,-237.009501528216,-1390.44877061575,-5.77390548665165,-576.591273792969,-17.5382754255834,-1756.35570342868,1928.35074332696,1008.02208651188,-2891.33764928134,-649.402437870534,23765.5725761501,2548.08328498794,3187.98112246235,534.281020244973,1610.97293448928,-3615.18852613376,2330.86038214389,2005.62581836747,-4838.33182709932,643.043371716638,1053.67757274049,-299.9335730584
"10",-41466.8581012704,-1185.06966552294,25856.9722332864,-24.1776974319378,-264.429554562512,-1385.43823213422,-6161.08058153532,9252.46713229925,1797.98357046437,845.647118404088,-106.47301761965,237.420377840973,-213.311729801873,466.49880004777,3086.97675169867,-1695.90916889328,818.279978523969,-328.170778707766,-779.318376863446,1005.14193888145,20042.1642971018,511.444859632581,870.706907776915,2048.95024391252,-1762.50230778448,825.888729570229,-1898.70402259224,-193.90463296381,-1106.54760286952,621.265343308876,608.034423139131,23.6754301188264,1045.75260025112,-5103.06545712937,2419.00379374025,-867.739621088126,1702.15044886088,21.5360414501446,4237.5068008374,-1161.22486396669,1057.87947529587,-36.2140807085039,-552.678806454581,-558.04343114042,1401.28767661593,980.022982441709,-13999.9123692327,767.757180035859,131.671403386394,829.953445683281,2925.16777394458,662.789683021238,602.026438881454,-90.4031275676414,395.290036683307,642.908069496168,783.783286445448,1559.6180371727,778.034900240454,-941.829618017762,-929.458389218777,587.919441191415,-11.161674319112,-325.004643302247,1478.29659026538,951.839322844042,1941.25124859947,1792.55467605212,3723.04352696942,-309.385282230289,1794.14387437867,1193.09290682406,-1697.91746040872,2159.75022708299,528.878743371627,-2567.53630638874,649.077998686183,2311.90013955533,240.340343037774,-3814.6681485659,-21.7052255855706,1030.50078711567,-839.797505001319,-1343.07853394847,1060.79732129134,1046.35540475359,-3185.38083017297,-571.755820562732,24645.1815135409,3029.81425264886,3077.13584762292,310.443520484275,1682.41653448365,-2526.50063729793,2232.22373118429,2041.32537397751,-6847.85326755255,-6.34079232085634,878.825207776569,171.167190297495
